Made with base sentiment function in Textblob. Contains polarity and subjectivity of text. Polarity goesfrom [-1,1] and subjectivity goes from [0,1]
On 2019-10-23, the article 'Can the Democrats avoid a brokered convention?' has a sentiment score of Sentiment(polarity=0.05321346582710217, subjectivity=0.4619621540076086)
On 2019-10-23, the article '5 things to know for October 23: Impeachment, Chicago, Hong Kong, Syria, ExxonMobil' has a sentiment score of Sentiment(polarity=0.044969172241899495, subjectivity=0.3819108290699199)
On 2019-10-21, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.04274538974538972, subjectivity=0.39200173250173254)
On 2019-10-22, the article 'Joe Biden said in 1998 that Clinton impeachment could be seen as 'partisan lynching'' has a sentiment score of Sentiment(polarity=0.024812121212121216, subjectivity=0.2929165945165945)
On 2019-10-23, the article 'Catch up on the latest from explosive testimony of top American diplomat to Ukraine' has a sentiment score of Sentiment(polarity=0.12443378050520908, subjectivity=0.39694305694305687)
On 2019-10-23, the article 'This is what strongman diplomacy looks like -- Meanwhile in America' has a sentiment score of Sentiment(polarity=0.07744617896133045, subjectivity=0.35654525048464436)
On 2019-10-22, the article 'McConnell denies he told Trump his call with the Ukrainian President was perfect' has a sentiment score of Sentiment(polarity=0.1465773809523809, subjectivity=0.41116071428571427)
On 2019-10-22, the article 'Pentagon official overseeing Ukraine policy set to appear before impeachment inquiry' has a sentiment score of Sentiment(polarity=0.07338709677419353, subjectivity=0.29543010752688165)
On 2019-10-22, the article 'The next House impeachment witness is the most important so far' has a sentiment score of Sentiment(polarity=0.002384943661539404, subjectivity=0.4770914310276014)
On 2019-10-22, the article 'Anita Hill says voters need to press 2020 Democrats on gender violence' has a sentiment score of Sentiment(polarity=0.15447681704260652, subjectivity=0.5250501253132832)
On 2019-10-22, the article 'Democrats now have a real chance at winning the Senate in 2020' has a sentiment score of Sentiment(polarity=0.13820423552351266, subjectivity=0.39704212788550125)
On 2019-10-22, the article 'Trump vents fury at impeachment probe with key witness due to testify' has a sentiment score of Sentiment(polarity=0.11042883564010325, subjectivity=0.4332419009003517)
On 2019-10-21, the article 'Facebook: Russian trolls are back. And they're here to meddle with 2020' has a sentiment score of Sentiment(polarity=0.028714165464165456, subjectivity=0.30322931697931693)
On 2019-10-21, the article 'Facebook tries to get its house in order ahead of 2020 election' has a sentiment score of Sentiment(polarity=0.09262271732099317, subjectivity=0.3787620042792456)
On 2019-10-20, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.059079350566419525, subjectivity=0.3883388482526416)
On 2019-10-22, the article 'Washington Post: Putin and Hungarian Prime Minister disparaged Ukraine to Trump' has a sentiment score of Sentiment(polarity=0.044458874458874455, subjectivity=0.3151803751803752)
On 2019-10-21, the article 'Donald Trump's Minnesota pipe dream' has a sentiment score of Sentiment(polarity=0.1817809042809043, subjectivity=0.4322150072150073)
On 2019-10-21, the article ''Boys Don't Cry' and the uneven legacy of protections for transgender Americans' has a sentiment score of Sentiment(polarity=0.050511063011063013, subjectivity=0.4574795574795575)
On 2019-10-21, the article 'Why Democrats face an uphill battle against Trump' has a sentiment score of Sentiment(polarity=0.11934163059163057, subjectivity=0.4069059644059643)
On 2019-10-21, the article 'Quickly catch up on the day's news' has a sentiment score of Sentiment(polarity=0.09363636363636363, subjectivity=0.4121212121212121)
On 2019-10-21, the article 'Trump seeks to head off Republican fury to prevent another disastrous week' has a sentiment score of Sentiment(polarity=-0.004728081543368171, subjectivity=0.36510103307874014)
On 2019-10-21, the article 'How far left is too far? -- Meanwhile in America' has a sentiment score of Sentiment(polarity=0.09521653314756762, subjectivity=0.34761407175200276)
On 2019-10-20, the article 'What's next for front-runner Elizabeth Warren?' has a sentiment score of Sentiment(polarity=0.16978627978627978, subjectivity=0.4475408525408524)
On 2019-10-21, the article 'Lindsey Graham does not rule out the possibility of Trump impeachment if new evidence emerges' has a sentiment score of Sentiment(polarity=-0.01985396547896547, subjectivity=0.44666784604284604)
On 2019-10-20, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.04427402099815894, subjectivity=0.34323253374977514)
On 2019-10-20, the article 'Republican jitters grow over Trump in 'turning point' week' has a sentiment score of Sentiment(polarity=0.03982746181022044, subjectivity=0.3610381731933455)
On 2019-10-20, the article 'Mulvaney again denies Trump-Ukraine quid pro quo' has a sentiment score of Sentiment(polarity=0.022844827586206894, subjectivity=0.32040229885057475)
On 2019-10-17, the article 'What Mick Mulvaney's stunning admission told us about Trump' has a sentiment score of Sentiment(polarity=0.0779451884920635, subjectivity=0.35767609126984123)
On 2019-10-20, the article 'Quid. Pro. Quo. (Just kidding!)' has a sentiment score of Sentiment(polarity=0.07502413653492787, subjectivity=0.42109390409750125)
On 2019-10-20, the article 'The country is as divided as it's been in recent history. Impeachment will likely make it worse' has a sentiment score of Sentiment(polarity=0.056284153005464486, subjectivity=0.43428961748633876)
On 2019-10-18, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.043641774891774884, subjectivity=0.33834956709956715)
On 2019-10-19, the article 'The Biden campaign intensifies its criticism of Facebook' has a sentiment score of Sentiment(polarity=-0.04062742812742814, subjectivity=0.374048174048174)
On 2019-10-19, the article 'Francis Rooney is the rare House Republican open to impeaching Trump' has a sentiment score of Sentiment(polarity=0.04145666526197498, subjectivity=0.3735559769630566)
On 2019-10-18, the article 'Giuliani pushed Trump administration to grant a visa to a Ukrainian official promising dirt on Democrats' has a sentiment score of Sentiment(polarity=0.0493421052631579, subjectivity=0.26644736842105265)
On 2019-10-19, the article 'Facebook is allowing politicians to lie openly. It's time to regulate' has a sentiment score of Sentiment(polarity=0.019148667938990522, subjectivity=0.3992501823146986)
On 2019-10-15, the article 'Ohio voters voice dismay over Trump's actions but aren't convinced on impeachment' has a sentiment score of Sentiment(polarity=0.07291597550943346, subjectivity=0.4565060821836523)
On 2019-10-19, the article 'What's happened and what's next for Trump's impeachment inquiry' has a sentiment score of Sentiment(polarity=0.12729040912139503, subjectivity=0.49155264922870556)
On 2019-10-18, the article 'Pompeo feels frustrated and victimized amid impeachment controversy' has a sentiment score of Sentiment(polarity=0.025398895275944453, subjectivity=0.294670356965439)
On 2019-10-18, the article 'What if Republicans can't 'get over it'?' has a sentiment score of Sentiment(polarity=0.07925925925925928, subjectivity=0.4741666666666667)
On 2019-10-18, the article 'Washington Post: Career diplomat testifies he raised concerns about Hunter Biden's Ukraine work in 2015' has a sentiment score of Sentiment(polarity=-0.014128352490421459, subjectivity=0.3760536398467432)
On 2019-10-18, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.046714665341118816, subjectivity=0.3307010931574887)
On 2019-10-18, the article 'Chicago teachers' strike stretches into second day as negotiations continue' has a sentiment score of Sentiment(polarity=0.1306892230576441, subjectivity=0.4782456140350876)
On 2019-07-08, the article '2020 Presidential Debates Fast Facts' has a sentiment score of Sentiment(polarity=0.06439393939393939, subjectivity=0.1313131313131313)
On 2019-10-18, the article 'Trump and 2020 Democratic opponents will speak at criminal justice forum' has a sentiment score of Sentiment(polarity=0.047119736324281784, subjectivity=0.3463424832743015)
On 2019-10-18, the article '2014 photo of Trump and indicted Giuliani associate took place at Ivanka Trump hosted fashion show' has a sentiment score of Sentiment(polarity=0.03152173913043479, subjectivity=0.29202898550724643)
On 2019-10-18, the article 'Fact check: Trump falsely claims Texas 'made a fortune' on Hurricane Harvey at Dallas rally' has a sentiment score of Sentiment(polarity=0.06169161627176895, subjectivity=0.34430041968209923)
On 2019-10-17, the article 'Republicans worried by Mulvaney's confirmation Trump sought exchange of favors with Ukraine' has a sentiment score of Sentiment(polarity=0.00738536155202822, subjectivity=0.24759700176366847)
On 2019-10-17, the article 'Mark Zuckerberg gives speech depicting Facebook as at the center of struggle for free expression' has a sentiment score of Sentiment(polarity=0.0688942158568327, subjectivity=0.3840079365079367)
On 2019-10-18, the article 'Rick Perry 'didn't see a problem' talking to Giuliani about Ukraine and 'doesn't know' if he'll comply with House subpoena' has a sentiment score of Sentiment(polarity=0.03260122230710467, subjectivity=0.31392284186401836)
On 2019-10-18, the article 'What House investigators have learned after two weeks of Ukraine interviews' has a sentiment score of Sentiment(polarity=0.03840218836281828, subjectivity=0.41457772323914055)
On 2019-10-18, the article ''Get over it': Top White House aide escalates impeachment drama in another wild day' has a sentiment score of Sentiment(polarity=0.0443582757398547, subjectivity=0.3553488519277993)
On 2019-10-18, the article 'The guardrails are off the Trump presidency' has a sentiment score of Sentiment(polarity=0.04703217744454858, subjectivity=0.3208595528183158)
On 2019-10-16, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.0439713796260369, subjectivity=0.3523948059361064)
On 2019-10-17, the article 'Rick Perry informs Trump of his plans to resign later this year as scrutiny over Ukraine heats up' has a sentiment score of Sentiment(polarity=0.09333333333333332, subjectivity=0.24194444444444443)
On 2019-10-17, the article 'Mulvaney brashly admits quid pro quo over Ukraine aid as key details emerge -- and then denies doing so' has a sentiment score of Sentiment(polarity=0.03687052019019234, subjectivity=0.34723103399332905)
On 2019-10-17, the article 'Ambassador breaks with Trump, testifying the President directed diplomats to work with Giuliani on Ukraine' has a sentiment score of Sentiment(polarity=0.06332547169811321, subjectivity=0.422940251572327)
On 2019-10-17, the article 'Mulvaney outlines White House Ukraine defense: Quid pro quo was about 2016 not 2020' has a sentiment score of Sentiment(polarity=0.0032070707070707, subjectivity=0.31622727272727275)
On 2019-10-17, the article 'Two men plead not guilty in alleged campaign finance scheme tied to Giuliani associates' has a sentiment score of Sentiment(polarity=0.14705882352941177, subjectivity=0.36274509803921573)
On 2019-10-17, the article 'Ukrainian energy giant was a focus for Rick Perry and Giuliani associates' has a sentiment score of Sentiment(polarity=0.052678323205846166, subjectivity=0.3484411612851979)
On 2019-10-17, the article 'It's official: Elizabeth Warren is our new Democratic 2020 front-runner' has a sentiment score of Sentiment(polarity=0.14859194182723598, subjectivity=0.42194409076762)
On 2019-10-17, the article 'Nancy Pelosi says Donald Trump is melting down. There's lots of evidence she's right.' has a sentiment score of Sentiment(polarity=0.03314999308149994, subjectivity=0.4312508648125086)
On 2019-10-17, the article 'Trump to host G7 at his own Florida resort property' has a sentiment score of Sentiment(polarity=0.087255291005291, subjectivity=0.30183568489124046)
On 2019-10-14, the article 'Read: The most important documents related to the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=-0.07141327807994477, subjectivity=0.25373003539670214)
On 2019-10-03, the article 'Remember when Condoleezza Rice wore these knee-high boots?' has a sentiment score of Sentiment(polarity=0.03535156510156509, subjectivity=0.43945210345210345)
On 2019-10-17, the article 'How Elizabeth Warren could 'vaporize' America's oil boom' has a sentiment score of Sentiment(polarity=0.06316761721523624, subjectivity=0.45398800934515215)
On 2019-10-16, the article 'It's now or never for Castro, Gabbard, Klobuchar and O'Rourke' has a sentiment score of Sentiment(polarity=0.11075018216107324, subjectivity=0.41430729611422673)
On 2019-10-17, the article 'Trump and Graham: It's complicated' has a sentiment score of Sentiment(polarity=0.02213327859879584, subjectivity=0.44896688560481657)
On 2019-10-17, the article 'Trump explodes at Pelosi as more key impeachment testimony looms' has a sentiment score of Sentiment(polarity=-0.0313910676781964, subjectivity=0.37153786807252154)
On 2019-10-17, the article 'Rudy Giuliani's business dealings sit at the center of the deepening Trump-Ukraine scandal. Here's the latest.' has a sentiment score of Sentiment(polarity=0.03219630164074609, subjectivity=0.321832077387633)
On 2019-10-17, the article ''Forceful, blunt and undiplomatic': the ambassador now at the center of the impeachment probe' has a sentiment score of Sentiment(polarity=0.05718221172766627, subjectivity=0.33846532255623174)
On 2019-10-17, the article 'Wall Street Journal: Rick Perry spoke with Rudy Giuliani at Trump's direction about Ukraine' has a sentiment score of Sentiment(polarity=-0.025641025641025644, subjectivity=0.36217948717948717)
On 2019-10-16, the article 'Former State adviser says Pompeo was silent on Yovanovitch ouster' has a sentiment score of Sentiment(polarity=-0.027604166666666666, subjectivity=0.3817708333333333)
On 2019-10-16, the article 'McConnell previews Senate impeachment trial and speculates it could end by Christmas' has a sentiment score of Sentiment(polarity=0.12083333333333335, subjectivity=0.4083333333333334)
On 2019-10-15, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.010794377304793969, subjectivity=0.33118005451338794)
On 2019-10-16, the article 'Day after debate, Elizabeth Warren's campaign says it's reviewing 'other revenue options' for Medicare for All' has a sentiment score of Sentiment(polarity=0.07302188552188553, subjectivity=0.38630073630073625)
On 2019-10-16, the article 'The worst news for Joe Biden Tuesday had nothing to do with the debate' has a sentiment score of Sentiment(polarity=0.020808182427900748, subjectivity=0.4019198524480216)
On 2019-10-16, the article 'Federal investigation of Rudy Giuliani includes counterintelligence probe' has a sentiment score of Sentiment(polarity=0.006310086017878222, subjectivity=0.33545075054815315)
On 2019-10-16, the article 'Debate coach: A star emerged from the Democratic debate' has a sentiment score of Sentiment(polarity=0.12166191594008492, subjectivity=0.48252710708696633)
On 2019-10-15, the article 'Live commentary on the fourth Democratic debate' has a sentiment score of Sentiment(polarity=0.11127756259335211, subjectivity=0.4429804238429967)
On 2019-10-16, the article 'From IDs in grocery stores to soldiers in Syria: Trump made 129 false claims last week' has a sentiment score of Sentiment(polarity=0.054730112181725105, subjectivity=0.457928757622306)
On 2019-10-16, the article 'Trump's impeachment defense game is absurd' has a sentiment score of Sentiment(polarity=0.014186986808668232, subjectivity=0.3887131428060633)
On 2019-10-16, the article 'Fourth man allegedly involved in Ukrainian campaign finance scheme in custody' has a sentiment score of Sentiment(polarity=0.032160894660894654, subjectivity=0.2229437229437229)
On 2019-10-16, the article '7 takeaways from the CNN/New York Times Democratic presidential debate' has a sentiment score of Sentiment(polarity=0.08928734760427673, subjectivity=0.4040773312426856)
On 2019-10-16, the article 'White House scrambles to slow impeachment push as explosive secrets spill behind closed doors' has a sentiment score of Sentiment(polarity=0.04626110731373889, subjectivity=0.3781337083968663)
On 2019-10-16, the article 'Watch the biggest moments of the CNN/New York Times debate last night' has a sentiment score of Sentiment(polarity=-0.019907407407407412, subjectivity=0.3087962962962963)
On 2019-10-16, the article 'Gallup survey finds 52% support for impeachment' has a sentiment score of Sentiment(polarity=0.022989074417645843, subjectivity=0.29328179756751194)
On 2019-10-16, the article 'Here's why Democrats aren't holding an impeachment inquiry vote -- yet' has a sentiment score of Sentiment(polarity=0.08114931985358816, subjectivity=0.36422676239749396)
On 2019-10-16, the article 'Buttigieg says Warren more specific about 'selfies' than health care plan' has a sentiment score of Sentiment(polarity=0.11539502164502166, subjectivity=0.4009199134199134)
On 2019-10-16, the article '2020 Democratic candidates slam Big Tech' has a sentiment score of Sentiment(polarity=0.00039831420783801544, subjectivity=0.38553322339036644)
On 2019-10-16, the article 'Chris Cillizza's winners and losers from the fourth Democratic debate' has a sentiment score of Sentiment(polarity=0.1908962823523993, subjectivity=0.46680789659513056)
On 2019-10-16, the article 'Five takeaways from the Democrats' 2020 fundraising' has a sentiment score of Sentiment(polarity=0.0599788204626914, subjectivity=0.341267513848159)
On 2019-10-16, the article 'Grand jury subpoenas former GOP Rep. Pete Sessions related to Giuliani and associates' Ukraine dealings, sources say' has a sentiment score of Sentiment(polarity=0.0967878787878788, subjectivity=0.29551515151515156)
On 2019-10-16, the article 'Elizabeth Warren has her night in the barrel' has a sentiment score of Sentiment(polarity=0.048045211147620795, subjectivity=0.42215985152732144)
On 2019-10-16, the article 'Booker urges party unity after bruising primary debate' has a sentiment score of Sentiment(polarity=0.19861161215327883, subjectivity=0.4306527577360911)
On 2019-10-15, the article 'John Bolton is Trump's newest nightmare' has a sentiment score of Sentiment(polarity=0.015753214447244295, subjectivity=0.4356722879110938)
On 2019-10-16, the article 'Democrats debate whether billionaires should exist' has a sentiment score of Sentiment(polarity=0.15926006092672754, subjectivity=0.4298116081449416)
On 2019-10-16, the article '5 things to know for October 16: Democratic debate, Syria, impeachment inquiry' has a sentiment score of Sentiment(polarity=0.07230772474278971, subjectivity=0.3600965592848709)
On 2019-10-16, the article 'The global reader's guide to what just happened at the Democratic debate -- Meanwhile in America' has a sentiment score of Sentiment(polarity=0.07109353412544903, subjectivity=0.4361869070645666)
On 2019-10-15, the article 'Ideological divide in Democratic primary exposed as moderates gang up on Elizabeth Warren' has a sentiment score of Sentiment(polarity=0.10751761722635508, subjectivity=0.4182035332520768)
On 2019-10-15, the article 'Live fact check of the Democratic debate' has a sentiment score of Sentiment(polarity=0.08821737786023501, subjectivity=0.4085896722325293)
On 2019-10-12, the article 'Democratic candidates debate in Ohio' has a sentiment score of Sentiment(polarity=0.10511036092037573, subjectivity=0.40027957437751266)
On 2019-10-16, the article 'Joe Biden spent more than he raised in the third quarter of 2019' has a sentiment score of Sentiment(polarity=0.14973958333333334, subjectivity=0.3041666666666667)
On 2019-10-16, the article 'Joe Biden offers forceful defense of his son's Ukraine work at Democratic debate' has a sentiment score of Sentiment(polarity=-0.026047237076648844, subjectivity=0.4078654188948306)
On 2019-10-14, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.04088986640599545, subjectivity=0.35440050272308327)
On 2019-10-16, the article '2020 Democrats stand united in support of impeachment process at debate' has a sentiment score of Sentiment(polarity=0.061960568417090155, subjectivity=0.4843468222598657)
On 2019-10-15, the article 'State Department official told to lie low after raising complaints about Giuliani' has a sentiment score of Sentiment(polarity=-0.08861832611832612, subjectivity=0.33562409812409805)
On 2019-10-15, the article 'Pelosi holding off on vote for impeachment inquiry for now: 'We're not here to call bluffs'' has a sentiment score of Sentiment(polarity=0.013095238095238089, subjectivity=0.4195728291316526)
On 2019-10-15, the article 'Democratic debate speaking time: By the numbers' has a sentiment score of Sentiment(polarity=0.15833333333333333, subjectivity=0.4083333333333334)
On 2019-10-15, the article 'Why tonight's debate matters so much to Joe Biden' has a sentiment score of Sentiment(polarity=0.0988095238095238, subjectivity=0.46119047619047626)
On 2019-10-15, the article 'How to watch the Democratic debate tonight' has a sentiment score of Sentiment(polarity=0.059712787212787194, subjectivity=0.2976673326673327)
On 2019-10-15, the article 'Trump family throws stones at Biden from a glass house' has a sentiment score of Sentiment(polarity=0.04554858900789136, subjectivity=0.539555260630842)
On 2019-10-15, the article '7 things to watch during the CNN/New York Times Democratic presidential debate' has a sentiment score of Sentiment(polarity=0.0745239813096956, subjectivity=0.38009585652442784)
On 2019-10-15, the article 'Bombshell testimony shows alarm over White House-Ukraine shadow diplomacy was early and deep' has a sentiment score of Sentiment(polarity=0.05258351530475422, subjectivity=0.31073226183845665)
On 2019-10-15, the article 'Other countries show Medicare for All doesn't have to mean getting rid of private insurance' has a sentiment score of Sentiment(polarity=0.09878215654077724, subjectivity=0.3595155993431855)
On 2019-10-15, the article 'Democrats fight to keep Ohio a 2020 battleground' has a sentiment score of Sentiment(polarity=0.10169450570393966, subjectivity=0.4048946336682185)
On 2019-10-15, the article 'What each candidate must do in tonight's debate -- Meanwhile in America' has a sentiment score of Sentiment(polarity=0.16480823863636365, subjectivity=0.4560076208513709)
On 2019-10-15, the article 'Does Joe Biden have a Hunter Biden problem?' has a sentiment score of Sentiment(polarity=0.10195720945720946, subjectivity=0.45056707181707195)
On 2019-10-15, the article 'Elizabeth Warren wants 2020 rivals to name big donors with influential campaign positions' has a sentiment score of Sentiment(polarity=0.07133605641670156, subjectivity=0.34226935698709887)
On 2019-10-15, the article 'Another career diplomat caught in the Ukraine scandal speaking to impeachment probe Tuesday' has a sentiment score of Sentiment(polarity=0.002369281045751642, subjectivity=0.30073529411764705)
On 2019-10-15, the article 'Hunter Biden says he used 'poor judgment' in serving on board of Ukraine gas company' has a sentiment score of Sentiment(polarity=-0.02904040404040404, subjectivity=0.37087176108915226)
On 2019-10-14, the article 'Trump's former top Russia adviser told Congress she saw 'wrongdoing' in US policy toward Ukraine, source says' has a sentiment score of Sentiment(polarity=0.046979463625805094, subjectivity=0.27021513039805717)
On 2019-10-15, the article 'Trump's twisting the knife in Biden's soft spot -- Meanwhile in America' has a sentiment score of Sentiment(polarity=0.07021545992134227, subjectivity=0.4442719589778412)
On 2019-10-11, the article 'What would an Elizabeth Warren presidency mean for the economy and markets?' has a sentiment score of Sentiment(polarity=0.1701719576719577, subjectivity=0.36331018518518515)
On 2019-10-13, the article 'This is just the tip of the impeachment inquiry iceberg' has a sentiment score of Sentiment(polarity=0.07068396402448127, subjectivity=0.40642362666069576)
On 2019-10-15, the article 'Learn the latest about impeachment inquiry testimony on Capitol Hill and Hunter Biden speaking out' has a sentiment score of Sentiment(polarity=0.07459280303030304, subjectivity=0.4129129204129205)
On 2019-10-15, the article 'Democrats take debate stage for first time since impeachment inquiry' has a sentiment score of Sentiment(polarity=0.14495159932659932, subjectivity=0.4197866926844199)
On 2019-10-14, the article 'Recently resigned State Department adviser set to testify before Congress' has a sentiment score of Sentiment(polarity=0.09312500000000001, subjectivity=0.24715277777777778)
On 2019-10-14, the article 'Trump's focus on Biden also highlights his own questionable business arrangements' has a sentiment score of Sentiment(polarity=0.05117373905164601, subjectivity=0.3180929729185544)
On 2019-10-13, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.024151509088483885, subjectivity=0.3373060284719949)
On 2019-10-14, the article 'Tuesday's Democratic debate could be make or break for these four candidates' has a sentiment score of Sentiment(polarity=0.04058667027417026, subjectivity=0.38769465488215493)
On 2019-10-14, the article 'Lawyer: Giuliani associate 'being cooperative' with House impeachment probe' has a sentiment score of Sentiment(polarity=0.045064935064935065, subjectivity=0.3441847041847042)
On 2019-10-14, the article 'Hunter Biden sits down for TV interview amid Trump's attacks on his business dealings' has a sentiment score of Sentiment(polarity=-0.029957469431153644, subjectivity=0.26588250930356194)
On 2019-10-14, the article 'Trump's language is his tell on Syria -- Meanwhile in America' has a sentiment score of Sentiment(polarity=0.07996562261268146, subjectivity=0.41242042271454016)
On 2019-10-14, the article 'Joe Biden takes on Trump administration with plan to 'restore' government ethics' has a sentiment score of Sentiment(polarity=0.04557142857142857, subjectivity=0.2663650793650794)
On 2019-10-14, the article '5 things to know for October 14: Syria, Fort Worth shooting, impeachment' has a sentiment score of Sentiment(polarity=0.033524791807924344, subjectivity=0.4137806637806637)
On 2019-10-12, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.05748630621079602, subjectivity=0.3254505698383249)
On 2019-10-13, the article 'Elizabeth Warren escalates Facebook ad feud' has a sentiment score of Sentiment(polarity=0.0638125763125763, subjectivity=0.41498778998779)
On 2019-10-14, the article 'Republicans can't hide as new week of impeachment drama consumes Washington' has a sentiment score of Sentiment(polarity=0.07439400268347639, subjectivity=0.4143461557935243)
